DATA	HORA	AMP01BH	AMP02AH	AMP02BH	AMP03AH	AMP03CH	AMP03BH	AMP04AH	AMP04BH	AMP05AH	AMP05BH	AMP06AH	AMP06BH	AMP07AH	AMP07BH	AMP08AH	AMP08BH	AMP09AH	AMP09BH	AMP10AH	AMP10BH	AMU11AH	AMU11BH	AMP12AH	AMP12BH	AMP01AH	AMP01BV	AMP02AV	AMP02BV	AMP03AV	AMP03CV	AMP03BV	AMP04AV	AMP04BV	AMP05AV	AMP05BV	AMP06AV	AMP06BV	AMP07AV	AMP07BV	AMP08AV	AMP08BV	AMP09AV	AMP09BV	AMP10AV	AMP10BV	AMU11AV	AMU11BV	AMP12AV	AMP12BV	AMP01AV	
30/08/2010 12:46:13	-0.899342	0.065391	-0.984865	-0.580672	-1.151431	-2.484491	0.444605	-0.797466	-1.585257	-0.462014	0.485558	-0.458164	-0.513518	-0.212640	-0.380284	0.318504	-0.088174	-0.041239	-0.246684	-0.454338	0.377302	0.822610	-0.644541	-0.943898	-0.533814	-0.398119	0.028335	0.452686	0.501320	2.178245	0.630758	0.310985	-0.198338	0.999452	0.818149	1.221151	-0.852134	0.053564	0.396849	0.829155	0.004259	0.376572	0.588947	0.611209	0.549593	0.971832	1.631327	0.933926	0.560765	0.391399	
30/10/2010 07:38:41	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.159948	-0.104282	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.309209	0.632514	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
30/10/2010 07:52:58	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.154910	-0.104697	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.317260	0.633109	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
09/11/2010 23:52:17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.119776	-0.018408	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.311515	0.599862	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
10/11/2010 00:03:17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.111532	-0.024495	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.319028	0.605827	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
10/11/2010 22:17:18	-0.915438	0.042239	-0.946546	-0.571720	-1.165012	-2.489813	0.462306	-0.823041	-1.573005	-0.483031	0.522733	-0.502741	-0.500308	-0.229970	-0.386304	0.256996	-0.106651	0.002824	-0.289527	-0.496190	0.365537	0.800317	-0.686449	-0.960881	-0.551147	-0.415241	0.025546	0.465152	0.566722	2.248183	0.612546	0.385420	-0.233088	0.981448	0.858123	1.213186	-0.836316	0.059381	0.376488	0.806405	-0.020972	0.319896	0.608459	0.690678	0.539492	1.031693	1.569895	0.967204	0.570619	0.327948	
09/12/2010 14:35:57	0.013984	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
09/12/2010 14:47:57	0.015176	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
09/12/2010 16:24:31	-0.201921	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
09/12/2010 16:30:25	-0.244761	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
