# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
1.5969999999996430e+03 -1.9857914032416627e+01 +0.0000000000000000e+00 +1.5968745037708809e+03 -1.4665958320619828e-20 +1.7202790951540309e-04 +1.2861284059439057e-18
1.5970999999996429e+03 -1.9859195836655182e+01 +0.0000000000000000e+00 +1.5969744955554329e+03 -1.8412376412672628e-20 +1.7200124794578001e-04 +1.4692569995659356e-18
1.5971999999996428e+03 -1.9860477640721868e+01 +0.0000000000000000e+00 +1.5970744873399872e+03 -1.7560184423917702e-20 +1.7197464909598584e-04 +1.3735054683800585e-18
1.5972999999996428e+03 -1.9861759444616712e+01 +0.0000000000000000e+00 +1.5971744791245435e+03 -1.5124679907935877e-20 +1.7194807173276182e-04 +1.1817685077898594e-18
1.5973999999996427e+03 -1.9863041248339744e+01 +0.0000000000000000e+00 +1.5972744709091021e+03 -1.2685639396136780e-20 +1.7192149437699822e-04 +9.8977573966926076e-19
1.5974999999996426e+03 -1.9864323051890985e+01 +0.0000000000000000e+00 +1.5973744626936630e+03 -1.0243062889232279e-20 +1.7189491702869513e-04 +7.9752716406976926e-19
1.5975999999996425e+03 -1.9865604855270465e+01 +0.0000000000000000e+00 +1.5974744544782259e+03 -7.7969503879403246e-21 +1.7186833968785251e-04 +6.0502278104337011e-19
1.5976999999996424e+03 -1.9866886658478212e+01 +0.0000000000000000e+00 +1.5975744462627911e+03 -5.3473018929669706e-21 +1.7184176235447037e-04 +4.1226259064111364e-19
1.5977999999996423e+03 -1.9868168461514248e+01 +0.0000000000000000e+00 +1.5976744380473585e+03 -2.8941174050238231e-21 +1.7181518502854868e-04 +2.1924659291448853e-19
1.5978999999996422e+03 -1.9869450264378603e+01 +0.0000000000000000e+00 +1.5977744298319280e+03 -4.3739692482822874e-22 +1.7178860771008750e-04 +2.5974787915434893e-20
1.5979999999996421e+03 -1.9870732067071302e+01 +0.0000000000000000e+00 +1.5978744216164998e+03 +2.0228595469142060e-21 +1.7176203039908673e-04 -1.6755282430502857e-19
1.5980999999996420e+03 -1.9872013869592372e+01 +0.0000000000000000e+00 +1.5979744134010739e+03 +4.4866520094921516e-21 +1.7173545309554644e-04 -3.6133624369543287e-19
1.5981999999996419e+03 -1.9873295671941840e+01 +0.0000000000000000e+00 +1.5980744051856502e+03 +2.8544095761989361e-21 +1.7170894048936869e-04 -2.9747808040644101e-19
1.5982999999996418e+03 -1.9874577474119729e+01 +0.0000000000000000e+00 +1.5981743969702286e+03 -1.9305314971485047e-22 +1.7168245014284581e-04 -1.4504163933460726e-19
1.5983999999996418e+03 -1.9875859276126068e+01 +0.0000000000000000e+00 +1.5982743887548093e+03 -3.2472864753511051e-21 +1.7165595981124383e-04 +7.3085162958776756e-21
1.5984999999996417e+03 -1.9877141077960886e+01 +0.0000000000000000e+00 +1.5983743805393922e+03 -6.3082903993522622e-21 +1.7162946949456277e-04 +1.5957238650242044e-19
1.5985999999996416e+03 -1.9878422879624207e+01 +0.0000000000000000e+00 +1.5984743723239771e+03 -9.3760649203540419e-21 +1.7160297919280263e-04 +3.1174997130207641e-19
1.5986999999996415e+03 -1.9879704681116056e+01 +0.0000000000000000e+00 +1.5985743641085644e+03 -1.2450610037006073e-20 +1.7157648890596340e-04 +4.6384127071257139e-19
1.5987999999996414e+03 -1.9880986482436462e+01 +0.0000000000000000e+00 +1.5986743558931539e+03 -1.5531925747951630e-20 +1.7154999863404504e-04 +6.1584628475130156e-19
1.5988999999996413e+03 -1.9882268283585454e+01 +0.0000000000000000e+00 +1.5987743476777455e+03 -1.8620012051827447e-20 +1.7152350837704766e-04 +7.6776501343532274e-19
1.5989999999996412e+03 -1.9883550084563051e+01 +0.0000000000000000e+00 +1.5988743394623393e+03 -2.1714868947283788e-20 +1.7149701813497112e-04 +9.1959745678233925e-19
