# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
4.1000000000000014e+00 -1.6829661888028708e-03 +0.0000000000000000e+00 +4.0999995395037043e+00 -8.2072315562156239e-04 +0.0000000000000000e+00 +9.9999966320669398e-01
4.2000000000000011e+00 -1.7660381911992291e-03 +0.0000000000000000e+00 +4.1999995049972449e+00 -8.4071656407588749e-04 +0.0000000000000000e+00 +9.9999964659776674e-01
4.3000000000000007e+00 -1.8511094359719271e-03 +0.0000000000000000e+00 +4.2999994688099896e+00 -8.6070800314657552e-04 +0.0000000000000000e+00 +9.9999962959079780e-01
4.4000000000000004e+00 -1.9381797261820673e-03 +0.0000000000000000e+00 +4.3999994309021400e+00 -8.8069747282295825e-04 +0.0000000000000000e+00 +9.9999961218590527e-01
4.5000000000000000e+00 -2.0272488648896865e-03 +0.0000000000000000e+00 +4.4999993912339100e+00 -9.0068497309437603e-04 +0.0000000000000000e+00 +9.9999959438320718e-01
4.5999999999999996e+00 -2.1183166551537553e-03 +0.0000000000000000e+00 +4.5999993497655254e+00 -9.2067050395017787e-04 +0.0000000000000000e+00 +9.9999957618282154e-01
4.6999999999999993e+00 -2.2113829000321803e-03 +0.0000000000000000e+00 +4.6999993064572223e+00 -9.4065406537972146e-04 +0.0000000000000000e+00 +9.9999955758486658e-01
4.7999999999999989e+00 -2.3064474025818035e-03 +0.0000000000000000e+00 +4.7999992612692504e+00 -9.6063565737237306e-04 +0.0000000000000000e+00 +9.9999953858946022e-01
4.8999999999999986e+00 -2.4035099658584044e-03 +0.0000000000000000e+00 +4.8999992141618698e+00 -9.8061527991750758e-04 +0.0000000000000000e+00 +9.9999951919672059e-01
4.9999999999999982e+00 -2.5025703929167004e-03 +0.0000000000000000e+00 +4.9999991650953541e+00 -1.0005929330045087e-03 +0.0000000000000000e+00 +9.9999949940676569e-01
5.0999999999999979e+00 -2.6036284776635656e-03 +0.0000000000000000e+00 +5.0999991140299956e+00 -1.0205683422185377e-03 +0.0000000000000000e+00 +9.9999947921999355e-01
5.1999999999999975e+00 -2.7066839774172288e-03 +0.0000000000000000e+00 +5.1999990609261388e+00 -1.0405412331379543e-03 +0.0000000000000000e+00 +9.9999945863682427e-01
5.2999999999999972e+00 -2.8117366403476274e-03 +0.0000000000000000e+00 +5.2999990057441515e+00 -1.0605116057515005e-03 +0.0000000000000000e+00 +9.9999943765740862e-01
5.3999999999999968e+00 -2.9187862146236505e-03 +0.0000000000000000e+00 +5.3999989484444173e+00 -1.0804794600486932e-03 +0.0000000000000000e+00 +9.9999941628189759e-01
5.4999999999999964e+00 -3.0278324484131385e-03 +0.0000000000000000e+00 +5.4999988889873332e+00 -1.1004447960190613e-03 +0.0000000000000000e+00 +9.9999939451044184e-01
5.5999999999999961e+00 -3.1388750898828865e-03 +0.0000000000000000e+00 +5.5999988273333123e+00 -1.1204076136521453e-03 +0.0000000000000000e+00 +9.9999937234319236e-01
5.6999999999999957e+00 -3.2519138871986430e-03 +0.0000000000000000e+00 +5.6999987634427836e+00 -1.1403679129374971e-03 +0.0000000000000000e+00 +9.9999934978029992e-01
